# form	sources	reason — refused by tools/build_lexicon.py
бұ3ау-торпақ	kazdict	outside-alphabet:3
бұ3аубалық	kazdict	outside-alphabet:3
бұ3аубас	kazdict	outside-alphabet:3
бұ3аудай	kazdict	outside-alphabet:3
бұ3аула	kazdict	outside-alphabet:3
бұ3аулат	kazdict	outside-alphabet:3
бұ3аулату	kazdict	outside-alphabet:3
бұ3аулау	kazdict	outside-alphabet:3
бұ3аулы	kazdict	outside-alphabet:3
бұ3аулық	kazdict	outside-alphabet:3
бұ3аусы3	kazdict	outside-alphabet:3
бұ3аутаз	kazdict	outside-alphabet:3
бұ3аутіс	kazdict	outside-alphabet:3
бұ3аухана	kazdict	outside-alphabet:3
бұ3ауша	kazdict	outside-alphabet:3
бұ3аушы	kazdict	outside-alphabet:3
бұ3аушылық	kazdict	outside-alphabet:3
бұ3аушық	kazdict	outside-alphabet:3
бұ3аушықтай	kazdict	outside-alphabet:3
бұ3ауқан	kazdict	outside-alphabet:3
бұ3ауқанша	kazdict	outside-alphabet:3
бұ3ауөрме	kazdict	outside-alphabet:3
бұ3ауөрім	kazdict	outside-alphabet:3
бұ3ақар	kazdict	outside-alphabet:3
бұ3ақы	kazdict	outside-alphabet:3
бұ3ақы-бүлік	kazdict	outside-alphabet:3
бұ3ақылау	kazdict	outside-alphabet:3
бұ3ақылық	kazdict	outside-alphabet:3
бұ3бастай	kazdict	outside-alphabet:3
бұ3баша	kazdict	outside-alphabet:3
бұ3дай	kazdict	outside-alphabet:3
бұ3дыр	kazdict	outside-alphabet:3
бұ3дырт	kazdict	outside-alphabet:3
бұ3дырту	kazdict	outside-alphabet:3
бұ3дыру	kazdict	outside-alphabet:3
бұ3дыған	kazdict	outside-alphabet:3
бұ3у	kazdict	outside-alphabet:3
бұ3усы3	kazdict	outside-alphabet:3
бұ3ушы	kazdict	outside-alphabet:3
бұ3ушылық	kazdict	outside-alphabet:3
бұ3ыл	kazdict	outside-alphabet:3
бұ3ылмалы	kazdict	outside-alphabet:3
бұ3ылу	kazdict	outside-alphabet:3
бұ3ылып-жарыл	kazdict	outside-alphabet:3
бұ3ылып-жарылу	kazdict	outside-alphabet:3
бұ3ылыс	kazdict	outside-alphabet:3
бұ3ылыңқы	kazdict	outside-alphabet:3
бұ3ылыңқыра	kazdict	outside-alphabet:3
бұ3ылыңқырау	kazdict	outside-alphabet:3
бұ3ылған	kazdict	outside-alphabet:3
бұ3ылғыш	kazdict	outside-alphabet:3
бұ3ымпа3дық	kazdict	outside-alphabet:3
бұ3ып-жар	kazdict	outside-alphabet:3
бұ3ып-жару	kazdict	outside-alphabet:3
бұ3ыс	kazdict	outside-alphabet:3
бұ3ысу	kazdict	outside-alphabet:3
бұ3ық	kazdict	outside-alphabet:3
бұ3ық-түзік	kazdict	outside-alphabet:3
бұ3ық-түзіктік	kazdict	outside-alphabet:3
бұ3ықтық	kazdict	outside-alphabet:3
бұ3ықшылық	kazdict	outside-alphabet:3
бұ3ықшөп	kazdict	outside-alphabet:3
бұ3ыңқыра	kazdict	outside-alphabet:3
бұ3ғы3	kazdict	outside-alphabet:3
бұ3ғы3у	kazdict	outside-alphabet:3
бұ3ғын	kazdict	outside-alphabet:3
бұ3ғынша	kazdict	outside-alphabet:3
бұ3ғыншы	kazdict	outside-alphabet:3
бұ3ғыш	kazdict	outside-alphabet:3
бұдан%	apertium	outside-alphabet:%
бұжығұн//бұжығын	kazdict	outside-alphabet:/
бұзақылық%	apertium	outside-alphabet:%
бұзылмай%	apertium	outside-alphabet:%
бұзып%	apertium	outside-alphabet:%
бұйраланған%	apertium	outside-alphabet:%
бұйрық%	apertium	outside-alphabet:%
бұл%	apertium	outside-alphabet:%
бұндай//бындай	kazdict	outside-alphabet:/
бұрап%	apertium	outside-alphabet:%
бұршақ‘	kazdict	outside-alphabet:‘
бұрылыс%	apertium	outside-alphabet:%
бұрыш%	apertium	outside-alphabet:%
бұғау%	apertium	outside-alphabet:%
бұғы%	apertium	outside-alphabet:%
бұқар%	apertium	outside-alphabet:%
бұқаралық%	apertium	outside-alphabet:%
бұқтырылған%	apertium	outside-alphabet:%
бәйбіше-	kazdict	edge-punctuation
бәйге-	kazdict	edge-punctuation
бәйгежирен-	kazdict	edge-punctuation
бәлек//пәрек	kazdict	outside-alphabet:/
бәрекелді//бәрекелде	kazdict	outside-alphabet:/
бәс%	apertium	outside-alphabet:%
бәсекеге%	apertium	outside-alphabet:%
бәске%	apertium	outside-alphabet:%
бәтер//бәтір	kazdict	outside-alphabet:/
бәңгі//банка	kazdict	outside-alphabet:/
бөгеп%	apertium	outside-alphabet:%
бөгет%	apertium	outside-alphabet:%
бөкенші-	kazdict	edge-punctuation
бөлiк	apertium	mixed-script
бөлшектеп%	apertium	outside-alphabet:%
бөлшекті%	apertium	outside-alphabet:%
бөліп%	apertium	outside-alphabet:%
бөрік-	kazdict	edge-punctuation
бөстек-	kazdict	edge-punctuation
ван%	apertium	outside-alphabet:%
веб%	apertium	outside-alphabet:%
велосипедте%	apertium	outside-alphabet:%
виқе-	kazdict	edge-punctuation
габид	name	translit-of:ғабид
габитжан	name	translit-of:ғабитжан
гадил	name	translit-of:ғаділ
газ%	apertium	outside-alphabet:%
газдалған%	apertium	outside-alphabet:%
газез	name	translit-of:ғазез
газизбек	name	translit-of:ғазизбек
гайнижамал	name	translit-of:ғайнижамал
гала-	kazdict	edge-punctuation
галат	kazdict	translit-of:ғалат
галиаскар	name	translit-of:ғалиасқар
галы	name	translit-of:ғалы
галымбек	name	translit-of:ғалымбек
гальваникалық%	apertium	outside-alphabet:%
ганибет	name	translit-of:ғанибет
гания	name	translit-of:ғания
гаппар	name	translit-of:ғаппар
гарамат//гәрәмат	kazdict	outside-alphabet:/
гармонияны%	apertium	outside-alphabet:%
гауһартас-	kazdict	edge-punctuation
гель%	apertium	outside-alphabet:%
генерал-губернатор-	kazdict	edge-punctuation
гензел//гензіл//кенсіл	kazdict	outside-alphabet:/
геогр.	apertium	outside-alphabet:.
геол.	apertium	outside-alphabet:.
гешір//гешкірт	kazdict	outside-alphabet:/
ги%	apertium	outside-alphabet:%
гибадат	name	translit-of:ғибадат
гизат	name	translit-of:ғизат
гинаят	name	translit-of:ғинаят
гипертимд1к	kazdict	outside-alphabet:1
гои	kazdict	translit-of:ғои
голос%	apertium	outside-alphabet:%
горхана//қабірстан	kazdict	outside-alphabet:/
гулайна	name	translit-of:гүлайна
гулайша	name	translit-of:гүлайша
гулайым	baseline,name	translit-of:гүлайым
гулбакша	name	translit-of:гүлбақша
гулбакыт	name	translit-of:гүлбақыт
гулбану	name	translit-of:гүлбану
гулбар	name	translit-of:гүлбар
гулбахар	name	translit-of:гүлбахар
гулбиби	name	translit-of:гүлбибі
гулгайша	name	translit-of:гүлғайша
гулгул	name	translit-of:гүлгүл
гулдана	name	translit-of:гүлдана
гулдария	name	translit-of:гүлдария
гулден	name	translit-of:гүлден
гулжазира	name	translit-of:гүлжазира
гулжамал	name	translit-of:гүлжамал
гулжамила	name	translit-of:гүлжәмила
гулжахан	baseline,name	translit-of:гүлжахан
гулзагира	name	translit-of:гүлзағира
гулзада	name	translit-of:гүлзада
гулзейнеп	name	translit-of:гүлзейнеп
гулзипа	name	translit-of:гүлзипа
гулим	name	translit-of:гүлім
гулмайра	name	translit-of:гүлмайра
гулмаржан	name	translit-of:гүлмаржан
гулмира	name	translit-of:гүлмира
гулназ	name	translit-of:гүлназ
гулназым	name	translit-of:гүлназым
гулнара	name	translit-of:гүлнара
гулнур	name	translit-of:гүлнұр
гулсана	name	translit-of:гүлсана
гулсимай	name	translit-of:гүлсімай
гулсин	name	translit-of:гүлсін
гулсинай	name	translit-of:гүлсінай
гулстан	name	translit-of:гүлстан
гулфайрус	name	translit-of:гүлфайрус
гулшара	name	translit-of:гүлшара
гуәлә//гуәлек	kazdict	outside-alphabet:/
гып	kazdict	translit-of:ғып
гіләс//плес	kazdict	outside-alphabet:/
гүл%	apertium	outside-alphabet:%
гүлнар//гүлнара	kazdict	outside-alphabet:/
гүн//гүңгелек//дүңгене	kazdict	outside-alphabet:/
гүпілеу//гүпілдеу	kazdict	outside-alphabet:/
гүрбік//гүрбек	kazdict	outside-alphabet:/
гәллехана//дәнхана	kazdict	outside-alphabet:/
гәуірт//геуірт	kazdict	outside-alphabet:/
гөләгір//гөлегір	kazdict	outside-alphabet:/
гөшт/гушт	kazdict	outside-alphabet:/
д/з	kazdict	outside-alphabet:/
да%	apertium	outside-alphabet:%
дабыл%	apertium	outside-alphabet:%
дакен	name	translit-of:дәкең
дакка	apertium	translit-of:даққа
далалық%	apertium	outside-alphabet:%
далдала‘	kazdict	outside-alphabet:‘
далди	baseline,kazdict	translit-of:дәлді
далдың-дүлдүң//далдың-дұлдұң	kazdict	outside-alphabet:/
далел	name	translit-of:дәлел
дален	name	translit-of:дәлен
дамен	name	translit-of:дәмен
дамет	name	translit-of:дәмет
даму%	apertium	outside-alphabet:%
дамыл%	apertium	outside-alphabet:%
данагул	name	translit-of:данагүл
дандаку	kazdict	translit-of:дәндәку
данекер	name	translit-of:дәнекер
данеш	apertium,baseline,kazdict,name	translit-of:дәнеш
дара%	apertium	outside-alphabet:%
дарағаш//тарағаш	kazdict	outside-alphabet:/
дарибай	name	translit-of:дәрібай
даркан	name	translit-of:дарқан
даркен	name	translit-of:дәркен
дастархан%	apertium	outside-alphabet:%
дауирбек	name	translit-of:дәуірбек
даула‘	kazdict	outside-alphabet:‘
даулен	name	translit-of:дәулен
даулетбаков	name	translit-of:дәулетбақов
даулетбеков	name	translit-of:дәулетбеков
даулеткелди	name	translit-of:дәулеткелді
дауыс%	apertium	outside-alphabet:%
дауыссыз%	apertium	outside-alphabet:%
дауысты%	apertium	outside-alphabet:%
даярлап%	apertium	outside-alphabet:%
дағ¥р	kazdict	outside-alphabet:¥
дағдарысқа%	apertium	outside-alphabet:%
дағды%	apertium	outside-alphabet:%
дақ%	apertium	outside-alphabet:%
дек.	apertium	outside-alphabet:.
декан%	apertium	outside-alphabet:%
декеперен//дәкәпаран	kazdict	outside-alphabet:/
дем%	apertium	outside-alphabet:%
демалыс%	apertium	outside-alphabet:%
демалысты%	apertium	outside-alphabet:%
дембі//дәмбі	kazdict	outside-alphabet:/
дембілеу//дәмбілеу	kazdict	outside-alphabet:/
демде‘	kazdict	outside-alphabet:‘
демон-	kazdict	edge-punctuation
демі%	apertium	outside-alphabet:%
денгел	kazdict	translit-of:деңгел
денсаулық%	apertium	outside-alphabet:%
дені%	apertium	outside-alphabet:%
деп%	apertium	outside-alphabet:%
дербисалиев	name	translit-of:дербісәлиев
деңбіт//деңбет//деңмент	kazdict	outside-alphabet:/
де–факто	kazdict	outside-alphabet:–
де‘	kazdict	outside-alphabet:‘
диалог-	kazdict	edge-punctuation
диверсиялық%	apertium	outside-alphabet:%
дилбар	kazdict,name	translit-of:ділбар
дилда	name	translit-of:ділда
дилдабек	name	translit-of:ділдәбек
дипломатиялық%	apertium	outside-alphabet:%
диспетчер[	kazdict	outside-alphabet:[
диқаншы-	kazdict	edge-punctuation
документальді%	apertium	outside-alphabet:%
домалан	apertium,baseline,kazdict	translit-of:домалаң
домалақ%	apertium	outside-alphabet:%
домбыра-	kazdict	edge-punctuation
домбықтырып%	apertium	outside-alphabet:%
дорбит	baseline,kazdict	translit-of:дөрбіт
дормет//дөрмет	kazdict	outside-alphabet:/
дос%	apertium	outside-alphabet:%
дос-жар//дос-жаран	kazdict	outside-alphabet:/
досмат//досмұқан	kazdict	outside-alphabet:/
доғара//тоғара	kazdict	outside-alphabet:/
ду`а	kazdict	outside-alphabet:`
дуан-	kazdict	edge-punctuation
дурдана	name	translit-of:дүрдана
дурия	apertium,baseline,name	translit-of:дүрия
душар%	apertium	outside-alphabet:%
дыбыс%	apertium	outside-alphabet:%
дыбыстық%	apertium	outside-alphabet:%
дым%	apertium	outside-alphabet:%
дімкес//дімкәс	kazdict	outside-alphabet:/
дін%	apertium	outside-alphabet:%
дінбасылар-	kazdict	edge-punctuation
дүбірән//дүбірәнә	kazdict	outside-alphabet:/
дүбәрәндік//декабіріс	kazdict	outside-alphabet:/
дүлей//түлей	kazdict	outside-alphabet:/
дүние%	apertium	outside-alphabet:%
дүниеге%	apertium	outside-alphabet:%
дүшпәрә//тұшпара	kazdict	outside-alphabet:/
дүңгіршек//дүңгірчек	kazdict	outside-alphabet:/
дұрыстап%	apertium	outside-alphabet:%
дәйді//дәйдігүл	kazdict	outside-alphabet:/
дәйек%	apertium	outside-alphabet:%
дәйекті%	apertium	outside-alphabet:%
дәкі//деке	kazdict	outside-alphabet:/
дәл%	apertium	outside-alphabet:%
дәм-т¥здас	kazdict	outside-alphabet:¥
дәмбілше//жәмбілше	kazdict	outside-alphabet:/
дәмт¥здық	kazdict	outside-alphabet:¥
дәмтатымдық'	kazdict	edge-punctuation
дәмі%	apertium	outside-alphabet:%
дәрдісар//дердісар	kazdict	outside-alphabet:/
дәреже%	apertium	outside-alphabet:%
дәрежеге%	apertium	outside-alphabet:%
дәрежелi	apertium	mixed-script
дәрру//дәррәу	kazdict	outside-alphabet:/
дәрте//тәрте	kazdict	outside-alphabet:/
дәріиіс//дәріс	kazdict	outside-alphabet:/
дәупірім//дәуперім	kazdict	outside-alphabet:/
дөдеге-	kazdict	edge-punctuation
дөрекі%	apertium	outside-alphabet:%
дөрмет//дүрбет	kazdict	outside-alphabet:/
дөңес%	apertium	outside-alphabet:%
егін%	apertium	outside-alphabet:%
ежелгі%	apertium	outside-alphabet:%
езу%	apertium	outside-alphabet:%
екпин	name	translit-of:екпін
екі%	apertium	outside-alphabet:%
екібетті//екібеткей	kazdict	outside-alphabet:/
екіге%	apertium	outside-alphabet:%
екінші%	apertium	outside-alphabet:%
елді%	apertium	outside-alphabet:%
елибай	name	translit-of:елібай
елмурат	name	translit-of:елмұрат
елнур	name	translit-of:елнұр
елубасы-	kazdict	edge-punctuation
емдеп%	apertium	outside-alphabet:%
емел//эмиль	kazdict	outside-alphabet:/
емик	kazdict	translit-of:емік
емтихан%	apertium	outside-alphabet:%
емшек%	apertium	outside-alphabet:%
ене-	kazdict	edge-punctuation
енсепов	name	translit-of:еңсепов
енші-	kazdict	edge-punctuation
еншілес%	apertium	outside-alphabet:%
ер%	apertium	outside-alphabet:%
ер-	kazdict	edge-punctuation
ер-тоқымын%	apertium	outside-alphabet:%
ер-тұрман-	kazdict	edge-punctuation
ер//йир	kazdict	outside-alphabet:/
ергазы	name	translit-of:ерғазы
ере%	apertium	outside-alphabet:%
ересек%	apertium	outside-alphabet:%
ереуіл-	kazdict	edge-punctuation
ерикжан	name	translit-of:ерікжан
еримбет	name	translit-of:ерімбет
еркинжан	name	translit-of:еркінжан
ермухамет	name	translit-of:ермұхамет
ернур	name	translit-of:ернұр
ерсин	name	translit-of:ерсін
ерте%	apertium	outside-alphabet:%
ертуган	name	translit-of:ертуған
ертіп%	apertium	outside-alphabet:%
ерулік-	kazdict	edge-punctuation
ерік2	kazdict	outside-alphabet:2
ес%	apertium	outside-alphabet:%
есе%	apertium	outside-alphabet:%
есенкулов	name	translit-of:есенқұлов
есептен%	apertium	outside-alphabet:%
есептеп%	apertium	outside-alphabet:%
еске%	apertium	outside-alphabet:%
ескек1	kazdict	outside-alphabet:1
ескелді%	apertium	outside-alphabet:%
ескендиров	name	translit-of:ескендіров
ескере%	apertium	outside-alphabet:%
ескерткіш%	apertium	outside-alphabet:%
ескерту%	apertium	outside-alphabet:%
ескертіп%	apertium	outside-alphabet:%
ескі%	apertium	outside-alphabet:%
есте%	apertium	outside-alphabet:%
естен%	apertium	outside-alphabet:%
естіліп%	apertium	outside-alphabet:%
естіп%	apertium	outside-alphabet:%
есі%	apertium	outside-alphabet:%
есік%	apertium	outside-alphabet:%
есінен%	apertium	outside-alphabet:%
есітіп%	apertium	outside-alphabet:%
еш%	apertium	outside-alphabet:%
ең%	apertium	outside-alphabet:%
еңбегі%	apertium	outside-alphabet:%
еңбек%	apertium	outside-alphabet:%
еңбекпен%	apertium	outside-alphabet:%
ж.	apertium	outside-alphabet:.
жа3айым	kazdict	outside-alphabet:3
жабайы%	apertium	outside-alphabet:%
жабыса%	apertium	outside-alphabet:%
жагыпар	baseline,name	translit-of:жағыпар
жадан	baseline	translit-of:жадаң
жадигер	baseline,name	translit-of:жәдігер
жаза%	apertium	outside-alphabet:%
жазылау//жадылау	kazdict	outside-alphabet:/
жазылы//жадылы	kazdict	outside-alphabet:/
жазып%	apertium	outside-alphabet:%
жазық2	kazdict	outside-alphabet:2
жазғы%	apertium	outside-alphabet:%
жазғызып%	apertium	outside-alphabet:%
жай%	apertium	outside-alphabet:%
жайма%	apertium	outside-alphabet:%
жайнаков	name	translit-of:жайнақов
жайсанбек	apertium,name	translit-of:жайсаңбек
жайшылык	name	translit-of:жайшылық
жаксыгул	name	translit-of:жақсыгүл
жала%	apertium	outside-alphabet:%
жалап%	apertium	outside-alphabet:%
жалатылған%	apertium	outside-alphabet:%
жалақы%	apertium	outside-alphabet:%
жалаң%	apertium	outside-alphabet:%
жалгасбек	name	translit-of:жалғасбек
жалмаганбетов	name	translit-of:жалмағанбетов
жалп%	apertium	outside-alphabet:%
жалпақ%	apertium	outside-alphabet:%
жалпы%	apertium	outside-alphabet:%
жалпыға%	apertium	outside-alphabet:%
жалын%	apertium	outside-alphabet:%
жалға%	apertium	outside-alphabet:%
жалған%	apertium	outside-alphabet:%
жалғыз%	apertium	outside-alphabet:%
жама`ат	kazdict	outside-alphabet:`
жаман%	apertium	outside-alphabet:%
жамбас%	apertium	outside-alphabet:%
жамига	baseline,name	translit-of:жамиға
жан%	apertium	outside-alphabet:%
жанабил	baseline,name	translit-of:жанәбіл
жаназа-	kazdict	edge-punctuation
жанаргул	name	translit-of:жанаргүл
жангабылов	name	translit-of:жанғабылов
жангак	name	translit-of:жаңғақ
жангали	baseline,name	translit-of:жанғали
жангелди	name	translit-of:жангелді
жангиров	name	translit-of:жәңгіров
жанды%	apertium	outside-alphabet:%
жанел	name	translit-of:жәнел
жанжигитов	name	translit-of:жанжігітов
жанкабыл	name	translit-of:жанқабыл
жаннет	apertium,name	translit-of:жәннет
жаннур	name	translit-of:жаннұр
жансыз-	kazdict	edge-punctuation
жантемир	name	translit-of:жантемір
жаншып%	apertium	outside-alphabet:%
жаны%	apertium	outside-alphabet:%
жанылган	name	translit-of:жаңылған
жанылхан	name	translit-of:жаңылхан
жанылыс	name	translit-of:жаңылыс
жанып%	apertium	outside-alphabet:%
жапаков	name	translit-of:жапақов
жаппа-	kazdict	edge-punctuation
жаппай%	apertium	outside-alphabet:%
жапырақ%	apertium	outside-alphabet:%
жар`а	kazdict	outside-alphabet:`
жара%	apertium	outside-alphabet:%
жаралап%	apertium	outside-alphabet:%
жарамсыз%	apertium	outside-alphabet:%
жараскан	name	translit-of:жарасқан
жарасулы	kazdict	translit-of:жарасұлы
жареуке	kazdict	translit-of:жәреуке
жария3	kazdict	outside-alphabet:3
жаркелеш	kazdict	translit-of:жәркелеш
жаркеш	kazdict	translit-of:жәркеш
жарлауыт-	kazdict	edge-punctuation
жармаганбетов	name	translit-of:жармағанбетов
жармаса%	apertium	outside-alphabet:%
жарнама%	apertium	outside-alphabet:%
жарты%	apertium	outside-alphabet:%
жартылай%	apertium	outside-alphabet:%
жарылгасын	name	translit-of:жарылғасын
жарылкап	name	translit-of:жарылқап
жарылкасын	baseline,name	translit-of:жарылқасын
жарылып%	apertium	outside-alphabet:%
жарым%	apertium	outside-alphabet:%
жарым-жарты%	apertium	outside-alphabet:%
жарысқа%	apertium	outside-alphabet:%
жарық%	apertium	outside-alphabet:%
жарыққа%	apertium	outside-alphabet:%
жарғақ-	kazdict	edge-punctuation
жарқ%	apertium	outside-alphabet:%
жас%	apertium	outside-alphabet:%
жасалып%	apertium	outside-alphabet:%
жасап%	apertium	outside-alphabet:%
жасау-	kazdict	edge-punctuation
жасауыл-	kazdict	edge-punctuation
жастық%	apertium	outside-alphabet:%
жастықты%	apertium	outside-alphabet:%
жасулан	kazdict,name	translit-of:жасұлан
жасыл%	apertium	outside-alphabet:%
жасырын%	apertium	outside-alphabet:%
жасырынып%	apertium	outside-alphabet:%
жасырып%	apertium	outside-alphabet:%
жат%	apertium	outside-alphabet:%
жатақ-	kazdict	edge-punctuation
жатыс%	apertium	outside-alphabet:%
жауап%	apertium	outside-alphabet:%
жауб/жауап	kazdict	outside-alphabet:/
жаубүйрек-	kazdict	edge-punctuation
жаудир	name	translit-of:жәудір
жауказын	name	translit-of:жауқазын
жаукемде	kazdict	translit-of:жәукемде
жаулап%	apertium	outside-alphabet:%
жаулық-	kazdict	edge-punctuation
жауып%	apertium	outside-alphabet:%
жаяу%	apertium	outside-alphabet:%
жағдай%	apertium	outside-alphabet:%
жағыл1	kazdict	outside-alphabet:1
жағылаң//жағыдан	kazdict	outside-alphabet:/
жағымсыз%	apertium	outside-alphabet:%
жағып%	apertium	outside-alphabet:%
жақ%	apertium	outside-alphabet:%
жақсы%	apertium	outside-alphabet:%
жақын%	apertium	outside-alphabet:%
жаңа%	apertium	outside-alphabet:%
жаңадан%	apertium	outside-alphabet:%
жаңылтпаш-	kazdict	edge-punctuation
жаңылыс%	apertium	outside-alphabet:%
жезде%	apertium	outside-alphabet:%
жезөкшелер%	apertium	outside-alphabet:%
жек%	apertium	outside-alphabet:%
жеке%	apertium	outside-alphabet:%
жекеше%	apertium	outside-alphabet:%
жексенгали	name	translit-of:жексенғали
жел%	apertium	outside-alphabet:%
желденген%	apertium	outside-alphabet:%
желек-	kazdict	edge-punctuation
желпен	kazdict	translit-of:желпең
желі-	kazdict	edge-punctuation
желімдеп%	apertium	outside-alphabet:%
желқұйын-	kazdict	edge-punctuation
жеміс%	apertium	outside-alphabet:%
женискул	name	translit-of:жеңіскүл
жент-	kazdict	edge-punctuation
жеп%	apertium	outside-alphabet:%
жер%	apertium	outside-alphabet:%
жер-жерде%	apertium	outside-alphabet:%
жерасты%	apertium	outside-alphabet:%
жерге%	apertium	outside-alphabet:%
жергілікті%	apertium	outside-alphabet:%
жерден%	apertium	outside-alphabet:%
жерді%	apertium	outside-alphabet:%
жерорта%	apertium	outside-alphabet:%
жесір%	apertium	outside-alphabet:%
жесір-	kazdict	edge-punctuation
жетiсу	apertium	mixed-script
жете%	apertium	outside-alphabet:%
жеткиншек	name	translit-of:жеткіншек
жеткізу%	apertium	outside-alphabet:%
жетпис	name	translit-of:жетпіс
жеті%	apertium	outside-alphabet:%
жетіліп%	apertium	outside-alphabet:%
жетіп%	apertium	outside-alphabet:%
жеңiс	apertium	mixed-script
жеңсіз%	apertium	outside-alphabet:%
жеңіл%	apertium	outside-alphabet:%
жеңіп%	apertium	outside-alphabet:%
жж.	apertium	outside-alphabet:.
жиен-	kazdict	edge-punctuation
жинап%	apertium	outside-alphabet:%
жиыстырушы%	apertium	outside-alphabet:%
жиһаз%	apertium	outside-alphabet:%
жобалан	apertium,baseline,kazdict	translit-of:жобалаң
жойылып%	apertium	outside-alphabet:%
жойып%	apertium	outside-alphabet:%
жол%	apertium	outside-alphabet:%
жолдыгали	name	translit-of:жолдығали
жолы%	apertium	outside-alphabet:%
жолүсті%	apertium	outside-alphabet:%
жонбай//жоңбай	kazdict	outside-alphabet:/
жорғалап%	apertium	outside-alphabet:%
жоғалып%	apertium	outside-alphabet:%
жоғалған%	apertium	outside-alphabet:%
жоғары%	apertium	outside-alphabet:%
жоғарыда%	apertium	outside-alphabet:%
жоғарыдан%	apertium	outside-alphabet:%
жоғарғы%	apertium	outside-alphabet:%
жоқ%	apertium	outside-alphabet:%
жоқтау-	kazdict	edge-punctuation
жоққа%	apertium	outside-alphabet:%
жуан%	apertium	outside-alphabet:%
жуантаяқ-	kazdict	edge-punctuation
жуармек	kazdict	translit-of:жуәрмек
жубаткан	name	translit-of:жұбатқан
жузим	name	translit-of:жүзім
жулан	kazdict	translit-of:жұлаң
жулдызай	name	translit-of:жұлдызай
жум`а	kazdict	outside-alphabet:`
жумабике	baseline,name	translit-of:жұмабике
жумакыз	name	translit-of:жұмақыз
жуманиязов	name	translit-of:жұманиязов
жунис	baseline,name	translit-of:жүніс
жупаргул	name	translit-of:жұпаргүл
журият	kazdict	translit-of:жұрият
жур‘а	kazdict	outside-alphabet:‘
жуғыш%	apertium	outside-alphabet:%
жыбырлатып%	apertium	outside-alphabet:%
жыл%	apertium	outside-alphabet:%
жылмың%	apertium	outside-alphabet:%
жылт%	apertium	outside-alphabet:%
жылу%	apertium	outside-alphabet:%
жылумен%	apertium	outside-alphabet:%
жылынатын%	apertium	outside-alphabet:%
жымиып%	apertium	outside-alphabet:%
жыныстық%	apertium	outside-alphabet:%
жыртыс-	kazdict	edge-punctuation
жібек%	apertium	outside-alphabet:%
жіберіп%	apertium	outside-alphabet:%
жіті%	apertium	outside-alphabet:%
жіңішке%	apertium	outside-alphabet:%
жүгері%	apertium	outside-alphabet:%
жүгіріп%	apertium	outside-alphabet:%
жүгірісіп%	apertium	outside-alphabet:%
жүдең%	apertium	outside-alphabet:%
жүз%	apertium	outside-alphabet:%
жүз-	kazdict	edge-punctuation
жүзеге%	apertium	outside-alphabet:%
жүзік%	apertium	outside-alphabet:%
жүзім%	apertium	outside-alphabet:%
жүзіп%	apertium	outside-alphabet:%
жүйеге%	apertium	outside-alphabet:%
жүйелік%	apertium	outside-alphabet:%
жүк%	apertium	outside-alphabet:%
жүкті%	apertium	outside-alphabet:%
жүктілікке%	apertium	outside-alphabet:%
жүктіліккке%	apertium	outside-alphabet:%
жүн%	apertium	outside-alphabet:%
жүргізе%	apertium	outside-alphabet:%
жүргіншінің%	apertium	outside-alphabet:%
жүрек%	apertium	outside-alphabet:%
жүру%	apertium	outside-alphabet:%
жүріп%	apertium	outside-alphabet:%
жұбату-	kazdict	edge-punctuation
жұлдыз%	apertium	outside-alphabet:%
жұлып%	apertium	outside-alphabet:%
жұлқып%	apertium	outside-alphabet:%
жұмсап%	apertium	outside-alphabet:%
жұмыр%	apertium	outside-alphabet:%
жұмыртқа%	apertium	outside-alphabet:%
жұмыс%	apertium	outside-alphabet:%
жұмыспен%	apertium	outside-alphabet:%
жұмыстан%	apertium	outside-alphabet:%
жұмысшы%	apertium	outside-alphabet:%
жұрт%	apertium	outside-alphabet:%
жұт-	kazdict	edge-punctuation
жұтып%	apertium	outside-alphabet:%
жұқа%	apertium	outside-alphabet:%
жәдікеш//жәдіркеш	kazdict	outside-alphabet:/
жәкiшев	apertium	mixed-script
жәрдем%	apertium	outside-alphabet:%
жәуріш//жәуріс	kazdict	outside-alphabet:/
жөн%	apertium	outside-alphabet:%
жөнге%	apertium	outside-alphabet:%
за`иг	kazdict	outside-alphabet:`
за`иф	kazdict	outside-alphabet:`
заhар	kazdict	mixed-script
загила	name	translit-of:зағила
загифа	name	translit-of:зағифа
зайил	kazdict	translit-of:зәйіл
зайи‘	kazdict	outside-alphabet:‘
закар	kazdict	translit-of:зақар
заки//зәки	kazdict	outside-alphabet:/
заккі//зәккі	kazdict	outside-alphabet:/
залыш//зәліш	kazdict	outside-alphabet:/
замзагул	baseline	translit-of:зәмзәгүл
замзам	name	translit-of:зәмзәм
замира	apertium,kazdict,name	translit-of:зәмира
занбил	kazdict	translit-of:зәнбіл
занжир	kazdict	translit-of:зәнжір
занталақ//зәнталақ	kazdict	outside-alphabet:/
занток//зәнтөк	kazdict	outside-alphabet:/
зардап%	apertium	outside-alphabet:%
зарре	kazdict	translit-of:зәрре
зат%	apertium	outside-alphabet:%
зауде	kazdict	translit-of:зәуде
зағипты//зағыпты	kazdict	outside-alphabet:/
зақым%	apertium	outside-alphabet:%
заң%	apertium	outside-alphabet:%
заңды%	apertium	outside-alphabet:%
заңнамалық%	apertium	outside-alphabet:%
