# form	sources — set aside by tools/build_lexicon.py, out of scope for a
# single-word speller and kept for whatever handles phrases later
жүре соғыса отырып өту	kazdict
жүре тыңдады	kazdict
жүре шабуылдау	kazdict
жүре-бара пайда болатын иммундық тапшылық синдромы	kazdict
жүрегі [аттай	kazdict
жүрегі адал	kazdict
жүрегі айныды	kazdict
жүрегі аласұрды	kazdict
жүрегі алып ұшты	kazdict
жүрегі алып-ұшты	kazdict
жүрегі алқымына тірелді	kazdict
жүрегі алқынды	kazdict
жүрегі аттай тулады	kazdict
жүрегі аттай тулады [дүрсілдеді	kazdict
жүрегі атша тулайды	kazdict
жүрегі аузына тығылды	kazdict
жүрегі аузына тығылғандай	kazdict
жүрегі аунамау	kazdict
жүрегі ауырмады	kazdict
жүрегі ашылды	kazdict
жүрегі балқыды	kazdict
жүрегі басылды	kazdict
жүрегі бүлк етпеді	kazdict
жүрегі бүлк етті	kazdict
жүрегі бұрды	kazdict
жүрегі дауалады	kazdict
жүрегі дауаламады	kazdict
жүрегі дір ете қалды	kazdict
жүрегі дір етті	kazdict
жүрегі дүрс-дүрс соқты	kazdict
жүрегі езілді	kazdict
жүрегі елжіреді	kazdict
жүрегі еріді	kazdict
жүрегі жанды	kazdict
жүрегі жанып-күйді	kazdict
жүрегі жарылды	kazdict
жүрегі жарылды [жарылып кете жаздады	kazdict
жүрегі жарылу	kazdict
жүрегі жарылғандай	kazdict
жүрегі жарым	kazdict
жүрегі жасыды	kazdict
жүрегі жиырылды	kazdict
жүрегі жиі соқты	kazdict
жүрегі жоқтық	kazdict
жүрегі жылыды	kazdict
жүрегі жібіді	kazdict
жүрегі жібімеді	kazdict
жүрегі жұмсақ	kazdict
жүрегі жұқа	kazdict
жүрегі зу етті	kazdict
жүрегі зуылдады	kazdict
жүрегі зырқ етті	kazdict
жүрегі кекке толы	kazdict
жүрегі кеудесіне сыймады	kazdict
жүрегі күпті болды	kazdict
жүрегі күіпті болды	kazdict
жүрегі көтерілді	kazdict
жүрегі лық ете қалды	kazdict
жүрегі лүп етгі	kazdict
жүрегі лүпілдеді [лүпіл қақты	kazdict
жүрегі май ішкендей кілкілдеді	kazdict
жүрегі мұз болды	kazdict
жүрегі мұздай	kazdict
жүрегі мұздай болды	kazdict
жүрегі мұздау	kazdict
жүрегі ойнақтап сала берді	kazdict
жүрегі орнына түсті	kazdict
жүрегі орнықпады	kazdict
жүрегі орнықты	kazdict
жүрегі от алды	kazdict
жүрегі от боп жанды	kazdict
жүрегі сазды	kazdict
жүрегі селт етпеді	kazdict
жүрегі соқты	kazdict
жүрегі су ете түсті	kazdict
жүрегі су еткендей	kazdict
жүрегі су етті	kazdict
жүрегі суыды	kazdict
жүрегі суылдады	kazdict
жүрегі суып қоя берді	kazdict
жүрегі сөйледі	kazdict
жүрегі таза	kazdict
жүрегі тайынбады	kazdict
жүрегі талды	kazdict
жүрегі талықсыды	kazdict
жүрегі тартты	kazdict
жүрегі тас	kazdict
жүрегі тас төбесіне шықты	kazdict
жүрегі тас төбесіне шыққандай	kazdict
жүрегі тебіренді	kazdict
жүрегі тесілді	kazdict
жүрегі тиянақ таппады	kazdict
жүрегі тулады	kazdict
жүрегі тілінді	kazdict
жүрегі түршікті	kazdict
жүрегі удай ашыды	kazdict
жүрегі шайлықты	kazdict
жүрегі шыдамады	kazdict
жүрегі шығу	kazdict
жүрегі қайтпады	kazdict
жүрегі қалтырады	kazdict
жүрегі қан жылады	kazdict
жүрегі қара	kazdict
жүрегі қарайды	kazdict
жүрегі қарс айырылды	kazdict
жүрегі қатал	kazdict
жүрегі қобалжыды	kazdict
жүрегі қозғалды	kazdict
жүрегі қозғалу	kazdict
жүрегі қозғалып қалу	kazdict
жүрегі қуанды	kazdict
жүрегі қысылды	kazdict
жүрегі үзілді	kazdict
жүрегі ұлыды	kazdict
жүрегі ұшты	kazdict
жүрегі өрекпу	kazdict
жүрегі өрекпіді	kazdict
жүрегі өрт боп жанды	kazdict
жүрегі – жаз	kazdict
жүрегіме гүл ескеңдей	kazdict
жүрегіме жұдырықтай боп тұра қалды	kazdict
жүрегімен білді	kazdict
жүрегімен сағынды	kazdict
жүрегімен сезінді	kazdict
жүрегін [үрейін	kazdict
жүрегін алға ұстады	kazdict
жүрегін аралады	kazdict
жүрегін ашқандай	kazdict
жүрегін бүлк еткізді	kazdict
жүрегін елжіретпеді	kazdict
жүрегін жаралады	kazdict
жүрегін жарып шыққан	kazdict
жүрегін жаулап алды	kazdict
жүрегін жеді	kazdict
жүрегін жылытпады	kazdict
жүрегін жылытты	kazdict
жүрегін жүдетті	kazdict
жүрегін зуылдатты	kazdict
жүрегін күпті қылды	kazdict
жүрегін көтеру	kazdict
жүрегін майдай шағу	kazdict
жүрегін мұздатты	kazdict
жүрегін мұң қарыды	kazdict
жүрегін орнықтырды	kazdict
жүрегін от қарыды	kazdict
жүрегін оятты	kazdict
жүрегін су еткізді	kazdict
жүрегін сыздатты	kazdict
жүрегін тасытты	kazdict
жүрегін тасыттырды	kazdict
жүрегін тебірентті	kazdict
жүрегін тырнады	kazdict
жүрегін тілді	kazdict
жүрегін қасірет жеді	kazdict
жүрегін қозғап-қозғап жіберді	kazdict
жүрегін ұстап сатты	kazdict
жүрегін ұсынды	kazdict
жүрегін ұшырды	kazdict
жүрегінде жұдырықтай боп тұра қалды	kazdict
жүрегінде оты бар	kazdict
жүрегіне беріш болды	kazdict
жүрегіне беріш болып қатты	kazdict
жүрегіне біз сұғып алғандай болды	kazdict
жүрегіне дақ түсті	kazdict
жүрегіне дық етті	kazdict
жүрегіне жетті	kazdict
жүрегіне жылу берді	kazdict
жүрегіне жүк артты	kazdict
жүрегіне ине шаншыды	kazdict
жүрегіне мұз жасады	kazdict
жүрегіне нұр тұнды	kazdict
жүрегіне тиді	kazdict
жүрегіне у төгілгендей	kazdict
жүрегіне қан қатты	kazdict
жүрегіне қанжардай қадалды	kazdict
жүрегіне қашалды	kazdict
жүрегіне қаяу салды	kazdict
жүрегіне қорқыныш ұялатты	kazdict
жүрегіне өрт түсті	kazdict
жүрегінің дегбірі кетті	kazdict
жүрегінің дүрсілі басылмады	kazdict
жүрегінің жалыны [оты	kazdict
жүрегінің мүйізі бар	kazdict
жүрегінің түгі бар	kazdict
жүрегінің түгі шыққан	kazdict
жүрек /595	kazdict
жүрек [көңіл	kazdict
жүрек алды болу	kazdict
жүрек аллада	kazdict
жүрек алқынды	kazdict
жүрек аритмиясы	kazdict
жүрек аурулары	kazdict
жүрек ақауы	kazdict
жүрек басты	kazdict
жүрек басқа	kazdict
жүрек дауалатты	kazdict
жүрек дерті	kazdict
жүрек дімкәсі бар адамдай	kazdict
жүрек дүбір салды	kazdict
жүрек дүбірледі	kazdict
жүрек дүбірлесті	kazdict
жүрек дүбірі	kazdict
жүрек дүрсілі	kazdict
жүрек ерік бермеді	kazdict
жүрек жалынын жандырды	kazdict
жүрек жалғады	kazdict
жүрек жалғау	kazdict
жүрек жарасы	kazdict
жүрек жарды жасады	kazdict
жүрек жарды қуаныш	kazdict
жүрек жары	kazdict
жүрек жарған	kazdict
жүрек жылады	kazdict
жүрек жылылығы	kazdict
жүрек жұмбағы	kazdict
жүрек жұтқан	kazdict
жүрек және қан тамыр неврозы	kazdict
жүрек иді	kazdict
жүрек кесті	kazdict
жүрек лүпілі	kazdict
жүрек суынбады	kazdict
жүрек суырды	kazdict
жүрек сызы	kazdict
жүрек сыры	kazdict
жүрек сөзін ұқтырды	kazdict
жүрек тапсыру	kazdict
жүрек толғанысы	kazdict
жүрек тоғыстыру	kazdict
жүрек тоқтатты	kazdict
жүрек түбіне жетті	kazdict
жүрек шайлы болды	kazdict
жүрек ымдады	kazdict
жүрек қабы	kazdict
жүрек қайғыға түсті	kazdict
жүрек қалмады	kazdict
жүрек қыжылдады	kazdict
жүрек қылын шертті	kazdict
жүрекжарды қуаныш	kazdict
жүрекке ас батпады	kazdict
жүрекке дақ түсті	kazdict
жүрекке жалау байлады	kazdict
жүрекке жол тапты	kazdict
жүрекке жылы	kazdict
жүрекке жылы тиді	kazdict
жүрекке жүк түсті	kazdict
жүрекке ине қадады	kazdict
жүрекке тиді	kazdict
жүрекке шапты	kazdict
жүректе тұрды	kazdict
жүректегі арман	kazdict
жүректегі жараны жазды	kazdict
жүректен от	kazdict
жүректен оқ тиді	kazdict
жүректен шыққан	kazdict
жүректерге жүлде салды	kazdict
жүректі балқытты	kazdict
жүректі бауыздау	kazdict
жүректі дерт алды	kazdict
жүректі жадыратты	kazdict
жүректі жандырды	kazdict
жүректі жаралау	kazdict
жүректі орнықтырды	kazdict
жүректі сара тілді	kazdict
жүректі тербеді	kazdict
жүректі тесті	kazdict
жүректі қозғады	kazdict
жүректі өртеді	kazdict
жүректілік көрсетті	kazdict
жүректің ақ нұры	kazdict
жүректің бұйрығы	kazdict
жүректің жалынын жоғалту	kazdict
жүректің мұзын балқытты	kazdict
жүректің құлағы	kazdict
жүрекше ен	kazdict
жүрекше жапырақ	kazdict
жүреле. жүрелеп отыру	kazdict
жүрермен болу	kazdict
жүресінен: жүресінен отырды	kazdict
жүруге күші жоқ	kazdict
жүруінен тұруы көп	kazdict
жүрім берсін	kazdict
жүрім. жүрім берсін	kazdict
жүрімі ұзарды	kazdict
жүрімің [үзілгір	kazdict
жүрімің құрғыр	kazdict
жүріп келеді	kazdict
жүріп келіп қалу	kazdict
жүріп кетті	kazdict
жүріп кету	kazdict
жүріп өту	kazdict
жүріс аты	kazdict
жүріс-тұрысы бұзылды	kazdict
жүріс-тұрысы жас жігіттей	kazdict
жүрісі суық	kazdict
жүрісі сұйық	kazdict
жүрісі құйындай	kazdict
жүрісінен жаңылмады	kazdict
жұбайлық неке	kazdict
жұбату айтқандай	kazdict
жұбату тобы	kazdict
жұбату шайы	kazdict
жұбатқа алу	kazdict
жұбы берік	kazdict
жұбы: жұбына жету	kazdict
жұбын жазбады	kazdict
жұбын жазбай	kazdict
жұбын жазбау	kazdict
жұбына жету	kazdict
жұда болды	kazdict
жұда қылды	kazdict
жұдырығын тас түйді	kazdict
жұдырығын түйді	kazdict
жұдырық /жұмырық	kazdict
жұдырық ала жүгірді	kazdict
жұдырық басындай	kazdict
жұдырық білесті	kazdict
жұдырық жеді	kazdict
жұдырық жұмсады	kazdict
жұдырық көрсетті	kazdict
жұдырық түйді	kazdict
жұдырық түймеді	kazdict
жұдырықтай бала	kazdict
жұдырықтай жұмылу	kazdict
жұдырықтың [ит тепкінің	kazdict
жұдырықтың астына алды	kazdict
жұлды да кетті	kazdict
жұлдыз i	kazdict
жұлдыз ii	kazdict
жұлдыз астрономиясы	kazdict
жұлдыз жымды	kazdict
жұлдыз тарады	kazdict
жұлдыз тола	kazdict
жұлдыз толды	kazdict
жұлдыз толғанда	kazdict
жұлдыз құйды	kazdict
жұлдыз құрақ	kazdict
жұлдыздай ағу	kazdict
жұлдыздай ақты	kazdict
жұлдыздай гүл	kazdict
жұлдыздай жайнау	kazdict
жұлдыздай жалт ету	kazdict
жұлдыздай жалтылдау	kazdict
жұлдыздай жану	kazdict
жұлдыздай жарқырау	kazdict
жұлдыздай жиі	kazdict
жұлдыздай жылтылдау	kazdict
жұлдыздай жылтырау	kazdict
жұлдыздай жыпырлау	kazdict
жұлдыздай жүйтку	kazdict
жұлдыздай маздату	kazdict
жұлдыздай самсады	kazdict
жұлдыздай құлдырлау	kazdict
жұлдыздай құлпыру	kazdict
жұлдыздар картасы	kazdict
жұлдыздар каталогы	kazdict
жұлдыздар шоғыры	kazdict
жұлдыздардай жүзім	kazdict
жұлдызды аспан	kazdict
жұлдызды соғыс	kazdict
жұлдызды тоғыспа	kazdict
жұлдызды. жұлдызды шаһар	kazdict
жұлдыздық уақыт	kazdict
жұлдыздық шама	kazdict
жұлдыздың оңы	kazdict
жұлдызсырға қалып	kazdict
жұлдызша ақты	kazdict
жұлдызша клетка	kazdict
жұлдызша нейрон	kazdict
жұлдызша тігу	kazdict
жұлдызша түйін	kazdict
жұлдызы аспандады	kazdict
жұлдызы ақты	kazdict
жұлдызы жанды	kazdict
жұлдызы жарасты	kazdict
жұлдызы жарқын	kazdict
жұлдызы жарқырады	kazdict
жұлдызы жоғары	kazdict
жұлдызы оңынан туды	kazdict
жұлдызы сөнді	kazdict
жұлдызы түзелді	kazdict
жұлдызы ыстық	kazdict
жұлдызы қарсы	kazdict
жұлдызы ұшты	kazdict
жұлдызың жоғары болсын	kazdict
жұлма болды	kazdict
жұлма нан	kazdict
жұлма-жұлма болды	kazdict
жұлма-жұлмасы шықты	kazdict
жұлма. жұлма көже	kazdict
жұлым үй	kazdict
жұлым-жұлым болды	kazdict
жұлым: жұлым үй	kazdict
жұлын i	kazdict
жұлын ii	kazdict
жұлын iii	kazdict
жұлын жұту	kazdict
жұлын түйіндері	kazdict
жұлын тұтты	kazdict
жұлын құрттай жыбырлату	kazdict
жұлын: жұлын тұту	kazdict
жұлындай ақты	kazdict
жұлындай көтерілу	kazdict
жұлындай созылу	kazdict
жұлындай түсірді	kazdict
жұлындай ұшырды	kazdict
жұлындай ұшыру	kazdict
жұлыны қиылды	kazdict
жұлыны үзілді	kazdict
жұлынын үзді	kazdict
жұлының үзілсін	kazdict
жұлынға тиді	kazdict
жұлып алды	kazdict
жұлып алғандай	kazdict
жұлып жеді	kazdict
жұлып тастады	kazdict
жұлып түсті	kazdict
жұлығы шыққан	kazdict
жұлығынан келмеді	kazdict
жұлық жалау	kazdict
жұлқы-жұлқысы шықты	kazdict
жұлқына жөнелді	kazdict
жұма мерек болсын	kazdict
жұма намаз	kazdict
жұмабаев мағжан	kazdict
жұмада алаууал	kazdict
жұмада алахира	kazdict
жұмағы: жұмағы қылу	kazdict
жұмақ [бейіш	kazdict
жұмақ аналардың табандары астында	kazdict
жұмақ құстары	kazdict
жұмақтай жайнау	kazdict
жұмақтау белгісі «−»	kazdict
жұмаққа келгендей	kazdict
жұмаққа ұқсау	kazdict
жұмбаздай салу	kazdict
жұмбақ айтыс	kazdict
жұмбақ жанры	kazdict
жұмбақ өлең	kazdict
жұмбақтай үнсіз	kazdict
жұмбақтау i	kazdict
жұмбақтау ii	kazdict
жұмсалған су	kazdict
жұмсақ алтын	kazdict
жұмсақ балшатыр	kazdict
жұмсақ вагон	kazdict
жұмсақ валюта	kazdict
жұмсақ жел	kazdict
жұмсақ мінезді	kazdict
жұмсақ су	kazdict
жұмсақ таңдай	kazdict
жұмсақ қолдылық істеу	kazdict
жұмсақ ұлпа	kazdict
жұмсақ. жұмсақ жері	kazdict
жұмыла кірісті	kazdict
жұмылдыра қанат жаю	kazdict
жұмылдыру туралы хабар	kazdict
жұмыр i	kazdict
жұмыр ii	kazdict
жұмыр ағаш	kazdict
жұмыр бас пенде	kazdict
жұмыр басты	kazdict
жұмыр басты пенде	kazdict
жұмыр білезік	kazdict
жұмыр білек	kazdict
жұмыр білекті	kazdict
жұмыр дорба	kazdict
жұмыр егеу	kazdict
жұмыр жер	kazdict
жұмыр мүсін	kazdict
жұмыр тұяқ	kazdict
жұмыр құрт	kazdict
жұмырай қоға	kazdict
жұмыртқа басты	kazdict
жұмыртқа басу	kazdict
жұмыртқа басқызды	kazdict
жұмыртқа жасуша	kazdict
жұмыртқа жер	kazdict
жұмыртқа жолы	kazdict
жұмыртқа салды	kazdict
жұмыртқадай ақ	kazdict
жұмыртқадай дөңгелену	kazdict
жұмыртқадай жарылу	kazdict
жұмыртқадай жылмию	kazdict
жұмыртқадай жұп-жұмыр	kazdict
жұмыртқадай тап-тақыр	kazdict
жұмыртқадай шайқау	kazdict
жұмыртқадан ақ келін	kazdict
жұмыртқадан жүн қырыққан	kazdict
жұмыртқаның уызындай сарғыш	kazdict
жұмыршақ ii	kazdict
жұмыршақ і	kazdict
жұмырына жұқ болмады	kazdict
жұмырына қалай жұқ болады	kazdict
жұмырық мұш	kazdict
жұмырық сыйғандай	kazdict
жұмырға жұғын болмады	kazdict
жұмыс /40	kazdict
жұмыс адамы	kazdict
жұмыс аймағы	kazdict
жұмыс аптасы	kazdict
жұмыс ауысымы	kazdict
жұмыс басы	kazdict
жұмыс беруші	kazdict
жұмыс берушілердің өкілдері	kazdict
жұмыс берушінің азаматтық-құқықтық жауапкершілігі	kazdict
жұмыс берушінің актілері	kazdict
жұмыс гиперемиясы	kazdict
жұмыс гипертрофиясы	kazdict
жұмыс емес	kazdict
жұмыс жасау	kazdict
жұмыс жылы	kazdict
жұмыс жұмыстап жүр	kazdict
жұмыс картасы	kazdict
жұмыс кестесі	kazdict
жұмыс киімі	kazdict
жұмыс комиссиясы	kazdict
жұмыс күні	kazdict
жұмыс күші	kazdict
жұмыс күші көші-қоны	kazdict
жұмыс күші шығындары	kazdict
жұмыс күшіне қатысу деңгейі	kazdict
жұмыс көлемі	kazdict
жұмыс орны	kazdict
жұмыс орнын аттестаттау	kazdict
жұмыс орнын жарақтандыру	kazdict
жұмыс орнын ұйымдастыру	kazdict
жұмыс орнындағы сексуальдық қол сұғу	kazdict
жұмыс орнының сипаттамасы	kazdict
жұмыс орындарын құру	kazdict
жұмыс парағы	kazdict
жұмыс стажы	kazdict
жұмыс сызбалары	kazdict
жұмыс табелі	kazdict
жұмыс уақыты	kazdict
жұмыс уақытын есептеу	kazdict
жұмыс уақытын пайдалану	kazdict
жұмыс уақытын суретке түсіру	kazdict
жұмыс уақытынан тыс еңбек	kazdict
жұмыс уақытының жиынтық есебі	kazdict
жұмыс эталоны	kazdict
жұмыс іздеп жүрген мәжбүрлі жұмыссыз	kazdict
жұмыс іздеу	kazdict
жұмыс іздеуші ретінде тіркелген адам	kazdict
жұмыс істеген сағаттар саны	kazdict
жұмыс істейтін мүгедектерге арналған жәрдемақы	kazdict
жұмыс істеу құқығы	kazdict
жұмыс істеуге арналған рұқсатнамалар	kazdict
жұмыс қолы	kazdict
жұмыс қолының құны	kazdict
жұмыс үзу	kazdict
жұмыс үстелі	kazdict
жұмыс өндіру жобасы	kazdict
жұмыс өтілі	kazdict
жұмыс. жұмыс бөлмесі	kazdict
жұмысбасты болды	kazdict
жұмыскер мінездемесі	kazdict
жұмыспен нәтижелі қамтылу	kazdict
жұмыспен қамту мәселелері	kazdict
жұмыспен қамтылу	kazdict
жұмыспен қамтылу статистикасы	kazdict
жұмыспен қамтылу статусы	kazdict
жұмыспен қамтылу құрылымы	kazdict
жұмыспен қамтылудың үлесі	kazdict
жұмыспен қамтылған халық	kazdict
жұмыссыздар үлесі	kazdict
жұмыссыздарды қаржылық қолдау	kazdict
жұмыссыздарды қорғаудың орташа деңгейі	kazdict
жұмыссыздық бойынша жәрдемақы	kazdict
жұмыссыздық бойынша жәрдемақы жарнасы	kazdict
жұмыссыздық бойынша көрсетілетін көмек	kazdict
жұмыссыздық бойынша өтемақы	kazdict
жұмыссыздық деңгейі	kazdict
жұмыссыздық жағдайында қамсыздандыру	kazdict
жұмыссыздық көрсеткіштері	kazdict
жұмыссыздық мәселесі	kazdict
жұмыссыздық теориялары	kazdict
жұмыссыздық қаупі	kazdict
жұмыссыздықпен күрес	kazdict
жұмыссыздықтан сақтандыру	kazdict
жұмыссыздықтан қорғау	kazdict
жұмыссыздықтан әлеуметтік қорғау	kazdict
жұмыссыздықтың жоғары деңгейі	kazdict
жұмыссыздықтың салдарлары	kazdict
жұмыссыздықтың себептері	kazdict
жұмыссыздықтың табиғи көрсеткіші	kazdict
жұмыссыздықтың түрлері	kazdict
жұмыстан босату	kazdict
жұмыстан шеттету	kazdict
жұмыстан шығу жәрдемақысы	kazdict
жұмыстар жүргізу шарты	kazdict
жұмыстар мен мамандықтардың тарифті-біліктілік анықтамасы	kazdict
жұмыстағы үзіліс	kazdict
жұмысты апат қылу	kazdict
жұмысты басынан асыру	kazdict
жұмысты пұқта	kazdict
жұмысты тарифтеу	kazdict
жұмысты қоса атқару	kazdict
жұмысты ұйымдастыру жобасы	kazdict
жұмыстық дене	kazdict
жұмыстық жад	kazdict
жұмыстық жиын	kazdict
жұмыстық жоба	kazdict
жұмыстық жүктеме	kazdict
жұмыстық том	kazdict
жұмыстық цикл	kazdict
жұмыстың ұзақтығы	kazdict
жұмысшы табы	kazdict
жұмысшы топ	kazdict
жұмысшы қауым	kazdict
жұмысшы ұйымы	kazdict
жұмысшылар еңбегі	kazdict
жұмысшыларды жеке және әлеуметтік қорғаудың тәсілдері	kazdict
жұмысшының дербес деректері	kazdict
жұмысы бар кісідей	kazdict
жұмысы бастан асты	kazdict
жұмысы басынан асады	kazdict
жұмысы тынбады	kazdict
жұмысын өз еркімен тоқтату	kazdict
жұмысың болмасын	kazdict
жұмысқа алымды	kazdict
жұмысқа аяқтай бару	kazdict
жұмысқа орналастыру	kazdict
жұмысқа түсті	kazdict
жұмысқа түстім	kazdict
жұмысқа тұруға байланысты төлем	kazdict
жұмысқа шықпау	kazdict
жұмысқа қабылдаудағы ең кіші жас	kazdict
жұмысқа қабылдауға жарамды ең төменгі жас	kazdict
жұмысқа қабілетті адам	kazdict
жұмысқа қабілеттілік	kazdict
жұмысқа қойғызды	kazdict
жұмысқа қолы бармады	kazdict
жұмысқа қосты	kazdict
жұмысқа қырлы болды	kazdict
жұмған аузын ашпады	kazdict
жұп сан	kazdict
жұп таңдау	kazdict
жұпа қаракөк	kazdict
жұпар i	kazdict
жұпар ii	kazdict
жұпар iii	kazdict
жұпар атты	kazdict
жұпар ауа	kazdict
жұпар аңқыды	kazdict
жұпар иіс	kazdict
жұпар иісті	kazdict
жұпар иісін шашқандай	kazdict
жұпар кіндік	kazdict
жұпар сабын	kazdict
жұпардай иіс	kazdict
жұпардай тию	kazdict
жұпарлы бездер	kazdict
жұптап қою	kazdict
жұптас. жұптас сөздер	kazdict
жұпты болды	kazdict
жұпыны киім	kazdict
жұрдай болды	kazdict
жұрдай етті	kazdict
жұрдай қылды	kazdict
жұрт / 159	kazdict
жұрт i	kazdict
жұрт ii	kazdict
жұрт аузы жеңіл-	kazdict
жұрт аяғы басылды	kazdict
жұрт аяғын ауырлады	kazdict
жұрт жақсысы	kazdict
жұрт жаңалады	kazdict
жұрт жаңғыртты	kazdict
жұрт көзіне түсті	kazdict
жұрт сұрады	kazdict
жұрт тану	kazdict
жұрт қамы	kazdict
жұрт қатарлы	kazdict
жұрт қыран топан	kazdict
жұрт қыран-топан	kazdict
жұртта қалды	kazdict
жұртта қалған жұрын	kazdict
жұртта қалған иттей болды	kazdict
жұртта қалған күшіктей ету	kazdict
жұртта қалған күшіктей етум	kazdict
жұртта қалған қу қазықтай	kazdict
жұртта қалғыр	kazdict
жұрттан алабөтен	kazdict
жұрттан асқан	kazdict
жұрттан шыққан	kazdict
жұртты бастады	kazdict
жұрттың қоры болды	kazdict
жұртшылық құқығы	kazdict
жұртын бермеді	kazdict
жұртына тастап кетті	kazdict
жұртқа тастады	kazdict
жұрым берсін	kazdict
жұрым. жұрымың кесілсін	kazdict
жұрындай ұшыру	kazdict
жұрынды тон	kazdict
жұт i	kazdict
жұт ii	kazdict
жұт болар жылдың күзіндей	kazdict
жұт болды	kazdict
жұт жеті ағайынды	kazdict
жұт жылғы	kazdict
жұт хабаршысы	kazdict
жұт шақырады	kazdict
жұт құрығынан құтылды	kazdict
жұтаң кендер	kazdict
жұтаң көмір	kazdict
жұтаң сана	kazdict
жұтаң: жұтаң тартты	kazdict
жұтпа ойнату	kazdict
жұттан шыққан жұрындар	kazdict
жұттың жұты	kazdict
жұтылып бара жатқан сияқты	kazdict
жұтынып тұр	kazdict
жұтынып тұрды	kazdict
жұтып жібергендей	kazdict
жұтып кеткендей	kazdict
жұтып қойғандай	kazdict
жұтып қойғысы келді	kazdict
жұтқа жаға жыртқызбады	kazdict
жұтқыншағын буды	kazdict
жұғымы [кісіге	kazdict
жұғымы бар	kazdict
жұғымы жоқ	kazdict
жұғын болмады	kazdict
жұғын болмады [болған жоқ	kazdict
жұғынына жұқ болмады	kazdict
жұғысты ету	kazdict
жұқ i	kazdict
жұқ iii	kazdict
жұқ iv	kazdict
жұқ болмайды	kazdict
жұқ іі	kazdict
жұқа білді	kazdict
жұқа білу	kazdict
жұқа жапырақты көкбас	kazdict
жұқа кеуші	kazdict
жұқа нан	kazdict
жұқа өңді	kazdict
жұқпа нан	kazdict
жұқпалы ауру	kazdict
жұқпалы аурулар	kazdict
жә мә	kazdict
жә. жә деді	kazdict
жәбір етті [жасады	kazdict
жәбір жеді	kazdict
жәбір көрді	kazdict
жәбір тартты	kazdict
жәбір шекті	kazdict
жәбір қылды	kazdict
жәбір-жапа көрді	kazdict
жәбір-жапа көрсетті	kazdict
жәбір-жапа шекті	kazdict
жәбір: жәбір көрді	kazdict
жәбірленушілерді айыптау	kazdict
жәдит мектептері	kazdict
жәдігөй жауғыш атанды	kazdict
жәзб-у халәт	kazdict
жәй түскендей	kazdict
жәйтіміз бар	kazdict
жәйшікті арба	kazdict
жәйін жауыр	kazdict
жәке / жәкем	kazdict
жәм-и шараб	kazdict
жәмшік тарту	kazdict
жәміл: жәмілін оңғару	kazdict
жәмілін оңғарсын	kazdict
жәмһарлы таза нәрсе	kazdict
жәмә жәләсу	kazdict
жәмәжә десті	kazdict
жәндік талшығы	kazdict
және /65	kazdict
және ғана	kazdict
жәнжеделі ине	kazdict
жәп-жиын ел	kazdict
жәрдем алды	kazdict
жәрдем ақша	kazdict
жәрдем берді	kazdict
жәрдем бөлімі	kazdict
жәрдем етті	kazdict
жәрдем етті [жасады	kazdict
жәрдем ету	kazdict
жәрдем жәмғияттары	kazdict
жәрдем көрсетті	kazdict
жәрдем пұл	kazdict
жәрдем қылу	kazdict
жәрдем ұйымы	kazdict
жәрдемақы алатын жұмыссыз	kazdict
жәрдемақы алмайтын жұмыссыз	kazdict
жәрдемақы алу құқығын жоғалту	kazdict
жәрдемақы алу құқығын иелену жолы	kazdict
жәрдемақы алу құқығын қалпына келтіру	kazdict
жәрдемақы алу құқығының сақталуы	kazdict
жәрдемақы тағайындау жөніндегі мемлекеттік уәкілетті орган	kazdict
жәрдемақы тағайындау жөніндегі уәкілетті орган	kazdict
жәрдемақы төленетін кәсіптік ауру	kazdict
жәрдемақы төлеу жөніндегі уәкілетті орган	kazdict
жәрдемақы төлеу тәсілі	kazdict
жәрдемақы төлеуді тоқтата тұру	kazdict
жәрдемақыларды есептеу	kazdict
жәрдемақыларды жыл сайынғы қайта есептеу	kazdict
жәрдемақыларды түзету	kazdict
жәрдемақыларды тәркілеу	kazdict
жәрдемақылардың аралас жеке жүйесі	kazdict
жәрдемақылармен қамсыздандырудың әмбебап жүйесі	kazdict
жәрдемақының жалпы сомасы	kazdict
жәрдемақының таза сомасы	kazdict
жәрдемақының өсуі	kazdict
жәрдемақыға сұрау салу	kazdict
жәрдемдес болды	kazdict
жәрдемі тиді	kazdict
жәркелең. жәркелең қақты	kazdict
жәркемдеу / жәукемдеу	kazdict
жәрмеңке думаншылары	kazdict
жәрмеңке кешендері	kazdict
жәукеге шығу	kazdict
жәукемге алды	kazdict
жәукемін шығарды	kazdict
жәшік арба	kazdict
жәшікті арба	kazdict
жәңгір мектебі	kazdict
жөке тақтай	kazdict
жөлім үй	kazdict
жөн /24	kazdict
жөн i	kazdict
жөн ii	kazdict
жөн бар ма	kazdict
жөн білгі	kazdict
жөн білдірді	kazdict
жөн жоқ	kazdict
жөн жүрді	kazdict
жөн жүру	kazdict
жөн көрді	kazdict
жөн көрсету	kazdict
жөн отырды	kazdict
жөн себеп	kazdict
жөн сілтеді	kazdict
жөн сілтеу беру	kazdict
жөн сұрады	kazdict
жөн сұрау	kazdict
жөн сөйлесті	kazdict
жөн тапты	kazdict
жөн тартты	kazdict
жөн тергесті	kazdict
жөн. жөн тартып жатыр	kazdict
жөн: жөн тарту	kazdict
жөнге [тәртіпке	kazdict
жөнге берді	kazdict
