# form	track	verbal-weight	nominal-weight — tools/tracks.py
# for entries with no part of speech. An entry not listed here keeps
# both tracks, because the books do not say which one it is on.
сақтанушы	n	0	5
сақтап	v	71	7
сақтас	v	6	0
сақтат	v	38	0
сақтаушы	n	0	122
сақтауы	n	0	37
сақтаған	n	21	240
сақшылық	n	0	5
сақылдау	n	0	4
сақырла	v	40	5
саңылаулан	v	15	0
саңылаусыз	n	0	2
саңырай	v	12	0
саңғы	v	19	0
саңғыр	v	24	2
саңғыра	v	28	0
саңғырат	v	6	0
саңғырла	v	15	0
саңғырлат	v	3	0
саңғыру	n	0	9
саңғыт	v	8	0
саңқ	v	11	0
саңқи	v	12	0
саңқылдат	v	14	0
саһар	n	0	7
саһил	n	0	2
себ	v	396	120
себеб	n	0	1993
себебі	n	0	191
себезгіле	v	22	0
себезде	v	10	0
себелен	v	8	0
себелет	v	4	0
себептер	n	164	1433
себептері	n	0	149
себептілік	n	19	51
себепшіл	n	0	5
себін	v	5	0
север	v	56	7
сезгір	n	0	7
сезіктендір	v	7	0
сезілетін	n	3	18
сезімдер	n	225	785
сезімділік	n	10	40
сезімпаз	n	0	5
сезімсіздік	n	0	8
сезінгіш	n	0	2
сезінушілік	v	3	2
сезіс	v	6	0
сейпіл	n	0	3
сейфуллин	n	21	136
сейілде	v	17	0
сейілдеу	n	3	5
сейілту	n	2	40
сейілу	n	0	5
сейілші	n	0	3
секек	n	0	2
секектет	v	4	0
секемдендір	v	2	0
секемдену	n	0	2
секең	n	2	9
секеңдет	v	11	0
секеңдеу	n	0	2
секи	v	37	0
секпіл	n	7	40
секпілден	v	5	0
секретары	n	0	49
секси	v	37	0
секталар	n	8	62
секторы	n	0	38
секторын	n	0	20
секірме	v	7	0
секірт	v	157	0
секіру	n	14	103
селбе	v	9	0
селбесу	n	0	2
селдіре	v	92	3
селдірет	v	22	0
селең	n	0	2
селеңгі	n	0	5
селжүк	n	0	19
селк	v	8	2
селкеулік	n	0	5
селкіл	n	3	15
селкілдеу	n	0	2
селтек	n	0	2
селтеңде	v	39	0
селтеңдес	v	3	0
селтеңдет	v	9	0
селтит	v	12	0
селтиіс	v	3	0
семантика	n	20	154
сембі	n	0	6
семинария	n	29	102
семиотика	n	5	54
сему	n	0	9
семіздік	n	37	56
семірту	n	0	14
семіртіл	v	8	0
семіру	n	0	18
сенбестік	n	0	20
сенгіштік	n	5	19
сенделіп	v	2	0
сенделіс	n	5	13
сендер	n	828	3037
сендердікі	n	0	2
сендіру	n	6	192
сену	n	63	651
сенуші	n	0	81
сенушілік	n	3	18
сені	n	4	907
сенімділігін	n	0	3
сенімпаз	n	0	3
сенімін	n	0	51
сенімің	v	72	7
сеніс	v	65	7
сенің	n	0	82
сепкіз	v	2	0
сеппе	v	7	0
септе	v	34	2
септеген	n	0	2
септел	v	30	0
септес	v	93	2
септесу	n	0	7
септігі	n	0	27
септір	v	16	0
сербеңде	v	2	0
серби	v	7	0
сервист	n	0	3
сергектілік	n	0	4
сергу	n	3	14
сергіп	v	2	0
серейген	n	0	2
серейт	v	43	3
серең	n	0	2
сереңдет	v	11	0
серкебай	n	2	16
серкелік	n	0	2
сермел	v	94	0
сермеле	v	15	0
сермес	v	40	3
сермет	v	15	0
сермеу	n	0	48
серпер	n	5	18
серпу	n	3	50
серпі	n	58	117
серпілдір	v	14	0
серпілу	n	0	18
серпінде	v	3	0
серпіндет	v	2	0
серпінділік	n	0	4
серттес	v	184	13
серттесу	n	0	11
серуендет	v	39	0
серуендеу	n	10	57
серуенші	n	0	12
серуеншіл	v	10	2
серіктесу	n	0	3
сескену	n	14	21
сестен	v	32	0
сетерле	v	2	0
сетік	n	0	4
сетіл	v	24	0
сетінет	v	8	0
сеңкібай	n	0	2
сигекте	v	3	0
сигнал	n	30	70
сида	n	0	7
сидалан	v	4	0
сидаңда	v	12	0
сидит	v	7	0
силлогистика	n	0	14
силсила	n	0	2
сима	v	127	12
символизм	n	9	46
симия	n	0	4
син	n	2	30
сина	n	0	64
сингармонизм	n	0	9
синдикат	n	0	18
синергетика	n	0	2
синолог	n	0	12
синонимдер	n	7	39
синоптик	n	0	4
синоптика	n	0	8
синтактика	n	0	2
синтездел	v	21	0
синтездеу	n	3	22
синтетика	n	0	97
синхрон	v	36	22
сионист	v	4	0
сипай	v	196	0
сипалан	v	33	0
сипан	v	54	0
сипап	v	19	0
сипас	v	28	2
сипаттал	v	661	0
сипаттамалар	n	20	123
сипаттамаларын	n	0	9
сипаттамасы	n	0	41
сипаттамасын	n	0	18
сипаттар	n	103	416
сипаттау	n	26	388
сипаттыр	v	3	0
сипаты	n	0	313
сипатын	n	0	206
сипау	n	14	79
сипақ	n	0	3
сипақта	v	4	0
сипақтат	v	14	0
сипаңда	v	3	0
сипаңдат	v	8	0
сипаһ	n	0	2
сират	n	7	39
сирексіт	v	2	0
сиректе	v	114	0
сиректен	v	2	0
сиректеу	n	0	2
сирет	v	89	5
сирету	n	0	3
сиретіл	v	7	0
сиреу	n	0	6
сиса	n	0	19
сиф	n	0	3
сиындыр	v	6	0
сиыну	n	4	33
сиыру	n	0	2
сиырыл	v	5	0
сиырың	v	35	5
сиырқұйымшақтандыр	v	4	0
сиықсыз	n	0	10
сиықсыздандыр	v	2	0
сиықсыздық	v	2	0
сияз	n	7	43
сияла	v	2	0
сияпат	n	28	161
сият	n	0	4
сияқтандыр	v	60	0
сияқтану	n	0	2
сияқтылар	n	172	378
сиқырлау	n	0	8
сиқыршылық	n	5	35
сказ	n	2	54
скальпель	n	0	7
скафандр	n	0	4
скважина	n	12	184
ске	v	7	0
скептицизм	n	7	30
склеп	v	2	0
скоморох	n	0	6
слесарь	n	0	13
служба	n	0	3
смета	n	12	46
сметала	v	2	0
смола	n	0	16
собалақтан	v	2	0
собалаңда	v	6	0
собор	n	9	138
советтен	v	5	0
советтендіріл	v	2	0
содырлық	n	2	5
созалаң	n	0	2
созалаңда	v	10	5
созақта	n	0	2
созбай	v	32	3
созбалаң	n	0	7
созбақ	n	0	19
созбұйда	n	0	4
создыр	v	47	0
создық	v	3	0
созылыңқылық	n	0	2
созылған	n	0	47
созыңқылық	v	3	0
созғыз	v	4	0
созғыла	v	12	0
сойдақ	n	0	2
сойдақтал	v	4	0
сойдақтат	v	16	0
сойди	v	103	2
сойды	n	0	2
сойылдас	v	18	0
сойылу	n	0	8
сойылша	v	3	2
сойылшы	v	2	0
сойым	n	0	2
сойып	v	42	2
сойыс	n	21	81
сойыстық	n	0	6
сойқа	n	2	60
солбырайт	v	2	0
солдаттық	n	0	46
солдағы	n	0	4
солдыр	v	101	3
солпи	v	18	0
солпы	n	10	19
солпылық	n	0	4
солу	n	2	15
солшылдық	n	0	10
солық	v	4	0
солықта	v	32	0
солғыз	v	2	0
солғында	v	73	0
солғындан	v	4	0
солқ	v	8	5
солқылдау	n	0	4
солқылдақтық	n	3	15
сомалар	n	4	9
сомасы	n	0	19
сомасын	n	0	7
сомда	v	211	3
сомдал	v	198	0
соналы	n	0	2
сонарлат	v	5	0
сонда	n	4	21
сондай	n	75	761
сондайлық	v	2	0
сондық	n	0	2132
сондықтан	n	2	111
сонша	n	9	999
соныла	v	4	0
сонылат	v	2	0
сонылық	n	3	13
сонырқа	v	5	0
соның	v	117	28
сопай	v	130	0
сопайт	v	5	0
сопақша	n	0	3
сопақшала	v	14	0
сопи	v	39	0
сопысын	v	10	0
сорайт	v	20	0
сораптау	n	0	6
сорақылық	n	22	73
сорлау	n	0	2
сорпылдат	v	8	0
сортаңдал	v	2	0
сорттал	v	2	0
сортты	n	0	5
сорыл	v	20	0
сорым	v	35	18
сорыс	v	3	0
сорық	v	4	0
сорғалау	n	0	6
сорғыз	v	46	0
сорғыт	v	28	0
сорғышта	v	8	0
сословие	n	12	192
сосынғы	n	7	12
сотанақтық	n	0	2
сотталу	n	0	34
сотталушы	n	0	22
сотталғандар	n	9	32
соттат	v	54	3
соттау	n	3	47
соттағы	n	0	4
софист	v	33	4
софистер	n	4	34
софистика	n	0	66
социум	n	11	42
сояу	n	3	14
сояулан	v	11	0
соға	v	1046	26
соған	n	2	4
соғдақ	n	0	3
соғды	n	0	44
соғушы	n	0	20
соғылып	v	18	0
соғылыс	v	144	0
соғын	v	11	0
соғып	v	109	0
соғыстыру	n	2	7
соқала	v	2	0
соқаң	n	0	2
соқпай	v	297	0
соқталан	v	33	0
соқтырт	v	22	0
соқтыға	v	53	0
соқтығу	n	4	17
соқтығып	v	6	0
соқтықпа	v	29	3
соққан	n	16	638
соққыз	v	58	0
соққылас	v	7	0
соққылау	n	0	10
соққын	n	0	115
соққыш	n	0	3
соңындағы	n	0	12
соңырақ	n	0	3
спартакиада	n	2	9
спартакиадасын	n	0	4
спейд	n	0	2
спеу	n	0	4
специфика	n	10	44
спикерлер	n	0	2
спиритуализм	n	0	12
спор	n	45	142
спортзал	n	0	7
спортшылары	n	0	2
сс	n	0	4
ст	v	156	21
ставкасы	n	0	7
ставкасын	n	0	4
стаж	n	11	39
стан	v	135	47
стансалары	n	0	2
станциясы	n	0	107
староста	n	2	72
старшын	n	7	122
статист	n	0	5
статусы	n	0	15
стахановшы	n	0	30
стационар	n	0	14
стела	n	0	7
стенд	n	0	10
стенограмма	n	3	23
стенографист	v	3	0
стер	n	9	46
стереотип	n	19	62
стерлинг	n	6	12
стильде	v	2	0
стильдері	n	0	18
стилі	n	0	143
стимул	n	4	48
стипендиат	n	0	2
страж	v	25	0
страта	n	0	14
стратегиялары	n	0	6
стресс	n	3	12
структурализм	n	6	25
студенттер	n	69	483
суалма	v	17	0
суалу	n	0	8
суарма	v	7	0
суару	n	24	147
суарылу	n	0	4
суарыс	v	2	0
субсидиялар	v	2	0
субъект	n	11	125
субъектілік	n	4	16
сув	v	12	6
суверен	n	5	14
суверенитет	v	8	5
судыр	n	3	9
судыра	v	56	10
судырат	v	63	0
судырақ	n	0	6
судырла	v	33	6
судырлат	v	13	0
судырлақ	n	0	2
суз	n	0	10
суландырыл	v	11	0
сулат	v	17	0
султан	n	50	100
сумақайлан	v	2	0
сумаң	n	2	3
сун	v	4	2
суннит	n	0	31
суны	n	0	3
суперэтнос	n	0	19
сур	v	758	12
сурат	v	2	0
суреттеу	n	54	611
суреттеуші	n	0	10
суретшілік	n	0	11
суреті	n	0	212
сусат	v	6	2
сусау	n	0	2
сусыздандыр	v	2	0
сусыздық	n	2	13
сусыл	n	0	48
сусылдас	v	3	0
сусылдат	v	43	0
сусындан	v	7	0
сусындандыр	v	2	0
сусындау	n	2	30
сусыра	v	5	0
сусыт	v	19	0
сутра	n	0	3
суу	n	0	17
суф	n	0	21
суфи	n	0	13
суфизм	n	14	61
сушыл	v	10	2
суыл	n	3	46
суылда	v	93	14
суылдат	v	42	0
суыну	n	0	9
суыртпақта	v	14	0
суыртпақтат	v	2	0
суыртпақтау	n	0	3
суыру	n	2	12
суырып	v	5	0
суырыпсалма	n	0	5
суыттыр	v	6	0
суыту	n	0	41
суытыл	v	21	0
суықсыра	v	2	0
суғару	n	3	44
суқан	n	0	160
схемасын	n	0	7
схоластика	n	0	105
схолостика	n	0	7
сценарийлер	n	2	13
сценарийін	n	0	6
сциентизм	n	0	4
счет	v	64	41
сы	n	197	847
сыбайластық	n	4	16
сыбан	v	455	62
сыбану	n	0	2
сыбдыра	v	10	0
сыбызғылат	v	8	0
сыбырлат	v	4	0
сыбырлау	n	2	17
сыдыру	n	0	8
сызаттан	v	12	0
сызаттар	n	2	19
сызбасы	n	0	9
сызбасын	n	0	4
сыздану	n	0	2
сыздат	v	302	0
сыздату	n	0	2
сыздау	n	5	16
сыздауыт	v	2	0
сызылдыр	v	7	0
сызылма	v	16	0
сызылып	v	4	0
сызылыс	v	2	0
сызықтық	n	0	2
сызғыз	v	4	0
сызғыр	v	15	0
сыйақылар	n	0	2
сыйдыру	n	0	24
сыйласу	n	7	40
сыйлат	v	26	0
сыйлау	n	69	314
сыйлаған	n	44	196
сыйымдылығы	n	0	11
сыйыстыр	v	23	0
сыйғызбау	n	0	2
сыланып	v	6	0
сыланған	n	0	6
сылап	v	8	0
сылат	v	13	0
сылақшы	n	0	6
сылбыра	v	5	0
сылдырлас	v	2	0
сылп	v	4	0
сылт	v	98	0
сылтыма	n	2	4
сылу	n	0	2
сылы	n	0	2
сылын	v	92	0
сылыт	v	5	0
сылқ	n	10	285
сылқи	n	13	24
сылқыл	n	0	5
сылқылдат	v	30	0
сылқылдақ	v	3	0
сылқымдан	v	2	0
сымау	n	0	6
сымбатта	v	5	0
сымбаттан	v	13	0
сымбаттау	n	0	2
сымп	v	5	0
сымпи	v	60	2
сымпылдас	v	3	0
сымпылдат	v	2	0
сынады	n	0	7
сыналан	v	11	0
сынама	v	36	4
сынар	n	0	35
сынас	v	296	4
сынасу	n	3	52
сынаушы	n	0	44
сынауы	n	0	6
сынағыш	n	2	10
сындар	n	40	209
сындырт	v	14	0
сындыру	n	6	81
сындырыл	v	46	0
сындырыс	v	2	0
сыншыл	v	181	72
сыншылдық	n	5	40
сыншысы	n	4	15
сыныбы	n	0	10
сыныптары	n	0	7
сынықсы	v	3	0
сынықтық	n	0	2
сынықшы	n	0	42
сынықшылық	n	2	4
сының	v	26	3
сынға	n	9	70
сыпайыла	v	22	0
сыпайылан	v	7	0
сыпайышылық	n	0	4
сыпсың	n	8	22
сыпсыңда	v	27	0
сыпсыңдас	v	12	0
сыпта	v	2	0
сыптал	v	2	0
сыптығырла	v	2	0
сыпырт	v	82	0
сыпыру	n	3	45
сыпырушы	n	0	44
сыпырынды	n	0	6
сыпырып	v	4	0
сырашы	n	0	2
сырбаздан	v	4	0
сырдаңда	v	2	0
сырдаңдық	n	0	2
сыри	v	26	0
сырласу	n	14	151
сырлат	v	27	0
сырлау	n	0	13
сыртта	n	11	73
сырттансы	v	3	0
сырттат	v	5	0
сырты	n	0	266
сыртыл	n	0	21
сыртылдат	v	47	0
сыру	n	0	2
сыршы	n	0	9
сыршылдық	n	2	37
сыры	n	18	232
сырылда	v	49	7
сырылдат	v	26	0
сырылу	n	0	2
сырғалық	n	0	2
сырғанат	v	33	0
сырғанау	n	9	27
сырғауылдар	n	5	12
сырғақсы	v	5	0
сырғақта	v	14	0
сырғақтат	v	7	0
сырғу	n	0	10
сырғыз	v	3	0
сырғытпа	n	0	3
сырғытыл	v	7	0
сырқа	v	282	15
сырқаттану	n	0	4
сырқау	n	16	156
сырқаулық	n	0	6
сырқырама	v	5	3
сырқырау	n	0	8
сытыр	n	2	20
сытырлат	v	64	0
сыш	v	2	0
сыю	n	0	16
сыяпат	n	7	40
сығ	v	558	11
сығай	n	4	87
сығайлан	v	3	0
сығалас	v	13	0
сығалат	v	22	0
сығалау	n	3	24
сығар	n	0	37
сығымдал	v	61	0
сығымдан	v	2	0
сығымдау	n	0	5
сығын	v	16	0
сығырайма	n	0	2
сығыс	v	14	0
сығыстыр	v	6	0
сықал	v	20	0
сықас	v	30	0
сықастыр	v	7	0
сықақта	v	19	0
сықақтау	n	0	5
сықақшыл	v	8	0
сықи	v	39	9
сықпалан	v	2	0
сықсит	v	19	0
сықсыңда	v	3	0
сықта	v	135	2
сықылдан	v	117	0
сықылық	n	0	5
сықылықтас	v	6	0
сықылықтау	n	0	2
сықыр	n	5	123
сыңғырлас	v	3	0
сыңғырлат	v	64	0
сыңғырлау	n	0	5
сыңқ	v	45	0
сыңқылдат	v	12	0
сідік	n	0	12
сіз	n	1388	6630
сіздің	n	0	2
сіл	n	66	309
сілбіле	v	7	0
сілекейле	v	2	0
сілекейлен	v	7	0
сілелет	v	4	0
сілемден	v	3	0
сілес	n	0	367
сілеу	v	77	34
сілку	n	0	11
сілкілен	v	2	0
сілкілес	v	44	0
сілкілеу	n	0	5
сілкіне	v	67	0
сілкіс	v	22	0
сілтемелер	n	10	53
сілтен	v	89	0
сілтет	v	21	0
сілтеу	n	25	230
сілім	n	0	55
сімірт	v	5	0
сіміру	n	0	18
сірге	n	4	7
сірестір	v	62	0
сіресу	n	0	3
сірі	n	18	65
сірілен	v	6	0
сіңбір	v	49	0
сіңбіру	n	0	43
сіңбірін	v	20	0
сіңді	n	0	2
сіңдіру	n	0	5
сіңлілі	n	0	3
сіңлісі	n	0	100
сіңлісін	n	0	3
сіңі	v	39	0
сіңіл	n	0	74
сіңілі	n	16	44
сіңірген	n	0	39
сіңірлен	v	8	0
сіңірт	v	3	0
сіңіс	v	460	0
сү	v	467	153
сүзгіз	v	3	0
сүзгіле	v	8	0
сүзгіш	n	0	6
сүздір	v	21	3
сүзек	n	4	114
сүзу	n	6	25
сүзістір	v	23	0
сүйде	v	36	0
сүйегі	n	0	207
сүйекте	v	7	0
сүйектел	v	10	0
сүйектен	v	2	0
сүйелден	v	4	0
сүйемелден	v	21	0
сүйемелдеу	n	2	37
сүйене	v	298	7
сүйену	n	22	180
сүйеніп	v	5	0
сүйеніс	v	34	0
сүйеп	v	4	0
сүйер	n	2	163
сүйес	v	32	0
сүйет	v	16	0
сүйеуші	n	0	12
сүйке	v	28	0
сүйкел	v	10	0
сүйкен	v	240	0
сүйкену	n	0	6
сүйкеніс	v	13	2
сүйкес	v	8	0
сүйкет	v	6	0
сүйкеу	n	0	4
сүйкім	v	997	306
сүйкімден	v	2	0
сүйкімсізден	v	2	0
сүйрелеу	n	0	9
сүйрес	v	6	0
сүйреттір	v	4	0
сүйрету	n	0	14
сүйретіле	v	7	0
сүйреу	n	0	57
сүйрең	n	0	4
сүйреңде	v	44	6
сүйреңдет	v	5	0
сүйсіндіретін	n	0	2
сүйсіне	v	109	4
сүйсінт	v	77	2
сүйсінушілік	v	3	0
сүйіндір	v	153	2
сүйіну	n	2	24
сүйіншіле	v	13	0
сүйініс	v	15	0
сүйінішті	n	0	2
сүйіп	v	66	0
сүйірле	v	33	0
сүйірлен	v	53	0
сүйістір	v	7	0
сүйісу	n	14	60
сүлелен	v	20	0
сүлесоқ	n	0	9
сүмбіле	n	0	65
сүмекте	v	8	0
сүметіл	v	24	0
сүмең	n	0	3
сүмеңде	v	30	0
сүмеңдет	v	19	0
сүмеңдеу	v	2	0
сүмпи	v	35	0
сүмпит	v	4	0
сүнгі	v	2	0
сүндеттел	v	7	0
сүндеттет	v	5	0
сүннет	n	13	49
сүнни	n	0	3
сүннит	n	0	10
сүп	v	2	0
сүрген	n	13	242
сүргі	n	0	132
сүргіз	v	53	5
сүргілен	v	14	0
сүргіштел	v	2	0
сүрдек	n	2	13
сүрді	n	0	2
сүрен	n	22	64
сүренде	v	3	0
сүреңсіздік	n	3	5
сүрле	v	314	0
сүрлен	v	75	0
сүрлік	v	3	0
сүрмелеу	n	0	2
сүрткіле	v	26	0
сүрткіш	n	0	5
сүртті	n	0	2
сүрту	n	8	84
сүртін	v	121	0
сүртіну	n	0	5
сүртіс	v	7	0
сүрі	n	0	9
сүрік	n	7	13
сүріну	n	4	24
сүріншек	n	0	2
сүріншекте	v	2	0
сүрініп	v	4	0
сүттен	v	8	0
сүті	n	0	304
сүтқоректілер	n	2	27
сүю	n	140	732
сүңгу	n	9	30
сүңгіле	v	6	0
сұбхан	n	2	4
сұбхат	n	0	2
сұйыл	v	209	4
сұйықта	v	40	0
сұйқылт	n	0	28
сұлату	n	2	5
сұлау	n	0	4
сұлба	n	174	407
сұлбалан	v	14	0
сұлбалау	n	0	3
сұлтанат	n	0	11
сұлтандар	n	50	345
сұлтанмұрат	n	3	10
сұлулан	v	96	0
сұлуландыр	v	13	0
сұлулау	n	0	2
сұлусы	v	3	0
сұлыбас	n	0	2
сұлып	v	2	0
сұлқ	n	0	3
сұмдан	v	4	0
сұмпайылық	n	3	7
сұмырайлық	n	0	5
сұп	n	2	34
сұрады	n	0	25
сұрай	v	1254	144
сұрайды	n	0	4
сұрал	v	228	4
сұраншақтық	n	0	5
сұраншы	n	0	31
сұраныстар	n	12	48
сұрап	v	956	6
сұраса	v	87	13
сұрасаң	n	0	28
сұрастырыл	v	11	0
сұрасу	n	5	33
сұрату	n	0	25
сұраулар	n	22	134
сұрауы	n	0	66
сұраған	n	41	1234
сұрақтар	n	173	724
сұрақтары	n	0	53
сұржылан	v	2	0
сұрландыр	v	8	0
сұрлық	n	0	2
сұрмерген	n	5	14
сұрсыз	n	0	2
сұрт	n	0	3
сұры	n	0	6
сұрықсыздан	v	13	0
сұрғылттан	v	24	0
сұрқайлан	v	10	0
сұрқиялан	v	2	0
сұрқиялық	n	10	41
сұсти	v	15	0
сұстылық	n	0	2
сұтыр	n	0	12
сұф	n	0	2
сұхбаттасу	n	4	64
сұғанақтан	v	5	0
сұғанақтық	n	4	15
сұғу	n	16	120
сұғыл	v	58	0
сұғындыр	v	13	0
сұғыну	n	4	7
сұқпа	v	71	6
сұқпыт	n	0	4
сұқтандыр	v	32	0
сұқтану	n	6	16
сұқтыр	v	7	0
сұқыр	n	0	2
сұққыз	v	3	0
сұңғақтан	v	5	0
сұңғылалық	n	3	20
сұңқ	v	585	0
сұңқылдас	v	8	0
сұңқылдат	v	49	0
сұңқылдақ	n	0	2
сәбихана	n	0	2
сәйгел	v	3	2
сәйкессіздігі	n	0	4
сәйкест	n	0	30
сәйкесте	v	6	0
сәйкесті	n	0	17
сәйкестігі	n	0	26
сәйкестігін	n	0	6
сәйкестілік	n	5	15
сәйкесу	n	4	23
сәкін	n	0	9
сәлделі	n	0	10
сәлемші	n	0	6
сәліс	n	0	2
сәмеке	n	0	35
сәндел	v	28	0
сәндендір	v	17	0
сәндет	v	6	0
сәне	n	0	2
сәні	n	0	114
сәнқойлан	v	2	0
сәнқойлық	n	4	17
сәнә	n	0	2
сәре	n	3	28
сәресі	n	2	25
сәркарда	n	2	8
сәру	v	85	2
сәрі	n	3	440
сәрілік	n	0	10
сәскелет	v	2	0
сәскелік	n	0	43
сәттік	n	0	2
сәуегейлен	v	2	0
сәуегейсі	v	10	0
сәукеле	n	44	92
сәулелену	n	0	19
сәулелер	n	29	189
сәулетай	n	3	43
сәулеттен	v	15	0
сәулеттендір	v	11	0
сәулеттілік	v	2	0
сәңки	v	18	0
сөгет	n	0	10
сөгу	n	7	70
сөгуш	n	0	14
сөзбұйда	n	0	58
сөзбұйдалық	n	0	3
сөздегі	n	0	2
сөздер	n	1063	3621
сөздері	n	0	780
сөздерін	n	0	286
сөздерің	v	118	65
сөзді	n	0	29
сөздігі	n	0	41
сөздікші	n	0	2
сөзділік	n	13	41
сөзлесе	n	0	2
сөзталас	n	0	3
сөзтізбе	n	4	17
сөзуарлан	v	7	0
сөзуарлық	n	7	23
сөзі	n	2	1952
сөзін	n	5	854
сөзің	v	744	487
сөзіңіз	n	199	398
сөйлеген	n	70	1077
сөйлегіш	n	0	10
сөйледі	n	0	6
сөйлейтін	n	15	119
сөйлемдер	n	106	288
сөйлемеген	n	0	21
сөйлемпаздық	n	0	2
сөйлемің	v	4	0
сөйлен	v	273	0
сөйленер	n	0	3
сөйлеп	v	101	0
сөйлер	n	0	65
сөйлесе	v	436	69
сөйлестір	v	59	0
сөйлесу	n	111	796
сөйлесуші	n	0	9
сөйлету	n	7	92
сөйлеуі	n	0	40
сөйте	v	266	14
сөйтсе	n	0	9
сөйту	n	6	39
сөке	v	2	0
сөккіз	v	2	0
сөкті	n	0	4
сөктір	v	18	2
сөлден	v	2	0
сөлекет	n	0	14
сөлекеттік	n	0	3
сөлкебай	n	8	13
сөлпи	v	10	0
сөмпи	v	13	0
сөндіру	n	8	64
сөндіріл	v	33	0
сөну	n	4	123
сөрел	v	36	13
сөресі	n	0	18
сөтке	n	0	69
сөтіл	v	4	0
сөңке	n	0	2
таб	v	4215	642
табадан	n	2	4
табалас	v	6	0
табалат	v	8	2
табалау	n	2	40
табалаушы	n	0	8
табам	v	3	0
табандат	v	87	0
табансыздық	n	0	5
табас	n	0	50
табашыл	n	2	3
табақта	n	0	2
табақшы	n	0	16
таби	n	0	15
табиб	n	4	21
табиғ	v	446	8
табиғаттану	n	0	9
табиғаты	n	0	433
табиғилық	n	16	79
табиғин	n	0	2
таблетка	n	4	13
таблица	n	3	37
табор	n	2	5
табу	n	238	2023
табут	n	2	6
табуы	n	0	60
табылатын	n	16	150
табылды	n	0	19
табылмайтын	n	3	33
табылу	n	3	318
табындыр	v	168	5
табыну	n	54	298
табынғыш	n	0	5
табыр	v	2	0
табыстар	n	59	469
табыстары	n	0	99
табыстау	n	5	9
табысу	n	16	187
табысы	n	0	142
табысып	v	18	0
тавғаш	v	2	0
таж	n	10	20
тазалас	v	7	0
тазалат	v	40	0
тазалығы	n	0	96
тазарттыр	v	8	0
тазартыл	v	161	0
тазартқыз	v	5	0
тазартқыш	n	0	2
тазару	n	9	73
тазасын	n	0	2
тазша	n	4	197
тайдырыл	v	43	0
тайжүзген	n	0	3
тайла	v	18	2
тайлы	n	0	9
тайм	v	71	2
таймас	n	6	68
тайпақта	v	4	0
тайрақта	v	2	0
тайраң	n	0	6
тайсалмас	n	0	77
тайсалу	v	7	0
тайсақ	n	0	2
тайсақта	v	44	0
тайсақтау	n	0	15
тайталастыр	v	3	0
тайталасу	n	2	16
тайтаңда	v	10	0
тайфа	n	0	2
тайызда	v	14	0
тайыздан	v	2	0
тайыздық	n	2	9
тайынба	v	71	5
тайынбау	n	0	12
тайғанат	v	6	0
тайғанақтат	v	8	0
тайғанақтық	n	0	4
тайғыз	v	34	0
тайқи	v	10	0
тайқыма	v	5	0
такаббар	n	0	3
такелаж	n	0	4
такса	n	0	2
тактикасы	n	0	12
талабы	n	0	230
талайлы	n	0	18
талайсыз	n	0	7
талайың	v	36	11
таланттылық	n	0	10
таланты	n	0	193
талану	n	0	7
талапсыз	n	5	19
талаптандыр	v	4	0
талаптану	n	0	35
талаптар	n	149	554
талаптары	n	0	168
талаптарын	n	0	14
талаптылық	n	0	7
талапшыл	n	0	16
талапшылдық	n	2	6
талар	n	2	8
таласа	v	266	4
таласта	v	5	0
таластыра	v	28	0
таластың	n	0	3
таласу	n	18	206
таласушы	n	0	28
талаттыр	v	7	0
талақай	n	0	13
талдан	v	340	0
талды	n	0	6
талдыру	n	0	8
талер	n	3	8
талмай	v	86	0
талмаура	v	12	0
талмаурат	v	4	0
талмаусы	v	4	0
талмаусырат	v	8	0
талмуд	n	4	17
талон	n	10	29
талпай	v	2	0
талпи	v	10	0
талпыну	n	14	139
талтай	v	165	7
талтайт	v	25	0
талтақта	v	2	0
талтаң	n	0	17
талтаңдас	v	2	0
талтаңдат	v	17	0
талу	n	3	8
талуй	n	0	2
талут	v	2	0
талып	v	27	0
талыс	v	5	3
талықсу	n	0	5
талықсыт	v	17	0
талғамдар	n	6	41
талғамды	n	0	4
талғамдылық	n	0	4
талғампаздық	n	5	41
талғамсыз	n	0	18
талған	n	5	95
талғаусыз	n	0	3
талғағ	n	0	5
талғағыш	n	0	2
талқандал	v	230	0
талқандат	v	7	0
талқандаушы	n	0	4
талқылай	v	59	0
талқылат	v	6	0
талқылаушы	n	0	6
тамамдас	v	17	0
тамамдау	n	0	15
тамашалас	v	3	0
тамашалат	v	13	0
тамашалау	n	7	146
тамақтандыру	n	6	30
тамақтану	n	15	119
тамбур	n	0	60
тамбурин	n	0	2
тамды	n	0	6
тамиғ	n	2	4
таможня	n	0	4
тамса	v	8	0
тамсана	v	81	2
тамсану	n	5	58
тамсанып	v	2	0
тамсаныс	v	16	0
тамтам	n	0	2
таму	n	2	10
тамшылат	v	81	0
тамыздыр	v	3	0
тамызу	n	0	9
тамызық	n	6	20
тамылжыт	v	100	0
тамып	v	18	0
тамырластық	v	5	2
тамырлығ	n	0	7
тамырлық	n	0	5
тамыршы	n	0	29
тамыры	n	0	373
тамға	n	9	45
танат	v	4	0
танаулат	v	3	0
танаура	v	4	0
танаурат	v	2	0
танбау	n	0	6
танго	n	0	2
тандыру	n	2	3
тани	v	691	83
